"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,7,7,7,68,4,4,4,2,2,5,1,2,57,3,4
"1",2,3,7,7,7,62,3,5,5,5,1,3,2,3,73,5,5
"1",1,2,5,3,5,42,1,2,3,3,4,5,5,5,58,4,4
"1",1,3,4,5,5,50,1,2,2,3,2,2,2,3,36,2,3
"1",1,2,6,6,6,56,4,4,4,3,1,4,2,3,52,3,4
"1",1,3,5,5,5,65,3,3,3,3,2,3,1,2,51,4,3
"1",1,3,3,6,5,47,1,4,3,3,2,2,4,3,45,3,3
"1",1,3,7,3,7,95,5,5,5,1,1,5,1,1,57,4,5
"1",1,3,7,7,7,86,5,5,5,1,1,5,1,1,54,4,2
"1",2,3,4,3,4,51,3,1,3,3,2,2,2,3,51,4,3
"1",1,3,6,4,4,49,3,2,3,4,4,3,2,3,50,4,3
"1",1,2,4,4,4,41,2,2,3,2,5,2,4,3,42,3,3
"1",1,2,1,4,1,65,1,2,1,2,2,4,1,1,48,1,5
"1",1,3,6,5,4,76,4,4,4,1,2,5,1,1,51,5,3
"1",2,3,5,4,7,73,3,4,4,1,3,5,1,1,45,3,3
"1",1,3,7,5,-1,57,4,4,4,4,2,4,2,3,55,4,4
"1",1,1,4,4,4,49,3,3,3,3,3,3,3,3,42,3,3
"1",1,1,4,5,7,48,5,4,4,3,5,2,4,3,57,1,4
"1",1,3,4,3,7,34,1,2,3,4,5,1,3,4,24,2,1
"1",1,3,5,5,5,52,3,3,3,3,4,3,3,3,35,2,3
"1",1,3,5,5,7,62,3,3,4,1,2,5,2,3,47,2,2
"1",2,1,6,6,1,66,3,4,4,2,2,2,1,1,53,4,4
"1",1,3,5,5,5,64,3,4,3,2,3,3,1,2,42,3,3
"1",1,3,4,4,7,30,3,1,2,5,5,2,5,5,61,5,5
"1",1,2,1,1,1,34,2,2,2,5,5,1,1,4,37,4,1
"1",1,3,6,6,5,56,2,3,3,3,3,2,2,2,53,4,3
"1",2,3,5,3,1,58,3,3,3,3,4,3,1,2,59,5,2
"1",1,3,7,7,7,60,3,2,3,2,2,2,3,2,31,2,2
"1",1,2,5,5,3,49,3,3,3,3,3,3,3,3,45,3,3
"1",1,1,7,6,4,46,3,4,5,3,3,4,2,5,52,3,5
"1",2,3,6,6,6,60,3,4,2,1,3,4,2,3,48,2,3
"1",1,3,5,6,6,40,1,3,2,5,3,2,3,4,42,3,3
"1",1,3,7,6,7,60,3,5,5,1,4,4,1,3,60,5,3
"1",1,3,5,5,5,59,4,4,4,1,2,3,2,3,49,4,3
"1",2,3,5,3,1,58,3,3,3,3,4,3,1,2,59,5,2
"1",1,3,6,6,7,51,3,4,4,3,4,3,2,2,68,5,4
"1",2,3,6,6,6,75,4,4,4,1,2,4,1,2,54,4,3
"1",2,3,6,5,6,48,3,3,3,3,5,3,2,3,52,4,3
"1",1,3,6,7,7,50,2,4,3,3,3,4,3,2,43,3,3
"1",2,2,7,7,7,63,4,4,4,2,2,4,2,2,57,4,4
"1",3,3,6,6,5,67,4,3,3,2,2,3,2,2,37,3,2
"1",1,3,7,6,4,95,5,5,5,1,1,5,1,1,57,4,4
"1",1,3,6,6,5,76,2,3,5,1,3,5,1,1,58,3,3
"1",1,3,5,5,4,46,3,3,3,4,3,3,2,3,53,4,4
"1",1,3,5,5,5,54,3,3,3,3,4,4,2,3,46,4,3
"1",2,3,3,3,1,39,2,3,2,5,5,5,4,4,50,4,3
"1",3,3,7,7,4,57,3,4,3,3,5,3,2,2,53,4,5
"1",1,3,7,7,7,56,3,5,3,3,3,4,2,2,82,5,5
"1",2,2,7,7,7,55,1,1,1,5,1,1,3,1,46,4,4
"1",1,3,5,6,6,41,1,1,2,3,4,2,4,4,47,4,3
"1",1,3,7,7,1,63,3,3,4,4,3,5,2,1,57,5,3
"1",2,3,6,6,4,78,4,4,4,1,1,5,1,3,50,3,3
"1",1,3,7,7,7,51,3,4,4,3,3,4,3,3,43,3,2
"1",1,3,3,3,3,58,3,2,3,2,5,3,1,2,34,1,3
"1",1,3,7,7,7,66,5,5,5,4,1,5,2,1,58,4,4
"1",1,3,7,7,7,49,3,3,3,3,3,3,3,3,42,3,3
"1",2,2,7,7,7,81,4,4,5,1,2,5,1,1,42,4,3
"1",1,3,6,7,7,65,3,5,4,3,2,3,1,3,47,4,3
"1",2,3,5,5,4,54,3,3,3,3,3,3,2,2,52,4,3
"1",2,3,7,7,7,88,5,5,5,1,1,1,1,1,61,5,4
"1",1,3,2,3,3,49,3,3,3,3,3,3,3,3,42,3,3
"1",1,3,6,7,7,64,4,4,5,2,2,5,1,3,73,5,4
"1",1,3,6,6,6,59,4,4,4,3,2,3,2,2,57,4,3
"1",1,3,3,3,4,34,1,2,3,5,5,1,3,2,31,3,1
"1",1,3,7,7,7,86,4,4,5,1,1,5,1,1,56,4,4
"1",3,1,7,7,5,51,4,4,4,4,4,5,1,4,58,4,4
"1",1,3,7,5,4,95,5,5,5,1,1,5,1,1,56,5,3
"1",1,3,5,6,6,70,5,5,5,1,3,5,1,2,76,5,5
"1",1,3,7,7,5,63,3,3,4,3,3,3,1,2,62,5,4
"1",1,3,6,6,6,81,5,4,4,1,1,5,1,2,53,5,4
"1",2,3,5,4,7,65,4,3,5,2,2,4,1,1,65,2,5
"1",1,2,6,7,3,25,1,1,3,5,5,1,2,5,45,1,2
"1",1,3,6,5,6,59,3,3,3,2,3,4,2,2,54,4,4
"1",1,3,5,5,6,62,4,4,3,3,2,3,1,1,57,4,4
"1",1,3,7,7,7,66,3,3,2,2,2,5,2,1,43,3,2
"1",1,1,2,7,7,49,3,3,5,3,3,3,3,3,42,3,3
"1",1,1,7,7,7,54,2,2,2,1,2,3,3,3,29,1,5
"1",1,3,5,5,5,50,3,3,3,3,5,3,1,3,42,3,1
"1",1,3,4,5,5,59,4,3,4,2,3,4,2,2,52,3,4
"1",1,3,7,5,5,64,3,3,3,2,3,3,1,2,51,4,3
"1",1,3,7,7,6,67,5,5,4,2,2,4,2,2,49,5,4
"1",1,3,7,7,7,66,5,4,5,4,2,5,1,5,71,4,5
"1",1,2,7,7,4,72,4,3,4,2,2,3,1,1,36,4,1
"1",1,2,7,7,7,63,2,1,4,2,2,4,1,2,82,5,5
"1",1,3,7,7,5,74,5,3,4,1,2,5,1,2,50,3,3
"1",3,2,4,4,5,56,2,4,3,3,3,4,1,3,53,3,3
"1",1,3,7,7,7,88,5,5,5,1,2,5,1,1,71,4,5
"1",1,3,4,5,7,52,2,2,2,2,3,3,3,3,39,3,2
"1",1,3,5,4,6,51,3,3,2,3,3,3,2,3,18,1,1
"1",1,1,5,5,7,44,1,1,3,5,5,1,1,3,80,5,5
"1",1,3,7,7,7,85,5,5,5,5,1,5,1,1,71,5,5
"1",1,3,5,7,4,55,2,2,3,3,3,3,2,2,43,3,3
"1",1,3,4,6,7,72,5,5,5,1,1,4,2,2,60,5,5
"1",1,3,7,7,7,80,5,5,5,5,2,5,1,1,76,5,5
"1",2,3,7,7,7,80,4,4,5,1,3,5,1,1,82,5,5
"1",1,3,6,5,6,63,2,3,3,2,3,3,1,2,51,5,4
"1",2,3,4,5,4,63,4,4,4,4,3,5,1,2,59,4,4
"1",1,3,6,7,7,43,4,3,3,4,4,3,3,4,48,3,4
"1",3,3,7,5,7,49,3,4,4,3,5,3,2,3,38,2,3
"1",1,2,4,4,4,50,3,3,3,3,3,3,3,2,41,3,3
"1",1,3,5,3,3,56,3,3,4,2,3,4,3,2,41,3,3
"1",1,3,5,5,5,57,3,3,3,2,3,4,2,3,43,3,3
"1",1,3,6,6,6,68,3,4,4,2,3,4,1,1,58,4,4
"1",1,3,5,5,5,61,3,3,4,2,3,4,1,3,57,4,4
"1",1,3,5,7,7,67,4,4,4,2,4,4,1,2,67,5,4
"1",1,2,4,4,7,28,1,1,1,5,5,1,3,3,41,3,3
"1",1,1,6,6,4,38,3,3,5,5,5,4,3,4,47,3,4
"1",1,2,4,3,5,54,3,3,4,2,3,4,2,2,75,5,5
"1",2,3,7,7,7,70,3,4,4,-1,1,4,1,2,57,4,4
"1",1,3,6,4,5,64,3,4,4,2,1,3,2,2,48,3,3
"1",1,2,7,6,6,61,4,4,4,4,2,4,2,2,61,4,4
"1",1,3,7,7,7,48,4,3,4,4,3,4,3,3,48,4,3
"1",1,3,7,7,7,59,5,5,5,2,5,3,2,3,46,5,4
"1",1,3,1,3,5,18,1,1,1,5,5,2,5,5,38,3,4
"1",2,3,7,6,4,75,4,3,5,1,2,5,1,1,57,4,4
"1",1,3,7,7,5,54,3,3,3,3,3,2,2,2,61,4,4
"1",1,3,6,5,5,53,3,3,3,3,3,3,3,3,43,4,3
"1",3,3,6,7,7,77,4,3,4,1,3,5,1,1,69,4,3
"1",1,3,3,5,6,43,1,3,3,5,3,2,4,3,51,3,2
"1",1,3,6,6,5,70,4,4,4,1,2,5,1,2,55,4,4
"1",1,3,5,7,5,67,5,1,1,1,1,5,2,2,57,4,4
"1",1,3,4,3,3,45,3,4,4,5,5,2,2,3,69,5,4
"1",1,2,3,3,4,34,4,2,2,3,5,2,3,5,34,2,3
"1",1,3,6,6,6,59,3,3,3,2,2,2,2,2,48,3,3
"1",1,3,6,6,6,59,3,3,2,2,2,3,2,2,51,3,2
"1",1,3,5,4,6,42,2,3,2,3,4,2,3,4,34,3,2
"1",1,3,5,5,6,55,3,3,3,3,3,3,2,3,42,3,3
"1",1,3,6,5,5,64,4,4,4,2,4,4,1,2,47,3,2
"1",1,3,5,4,4,67,4,4,4,1,3,5,1,2,56,4,3
"1",1,3,5,5,5,56,4,3,3,2,2,3,3,3,44,3,3
"1",1,2,4,6,7,33,1,1,2,5,5,2,4,4,30,1,3
"1",3,3,7,7,7,86,4,5,5,1,1,4,1,1,54,3,4
"1",2,3,7,7,7,61,4,5,4,5,3,3,1,2,45,5,3
"1",1,3,6,4,5,62,5,4,4,2,2,1,1,2,48,3,3
"1",1,3,7,5,7,49,3,3,3,3,3,1,4,3,41,3,2
"1",3,3,4,6,6,56,4,3,3,1,3,1,2,4,59,5,2
"1",1,3,6,6,6,64,5,3,4,2,3,5,1,2,58,4,4
"1",1,3,7,7,7,80,5,5,4,1,2,5,1,2,51,4,3
"1",2,1,4,2,7,35,1,1,2,5,5,2,2,5,32,4,1
"1",1,3,6,6,6,53,4,4,4,2,3,3,4,2,50,4,4
"1",2,3,6,6,6,47,3,3,2,4,2,2,2,4,47,4,3
"1",1,3,4,7,5,37,1,1,2,4,4,2,4,4,43,3,2
"1",2,3,6,6,6,75,4,4,4,1,2,4,1,2,54,4,3
"1",1,2,5,5,6,48,1,3,2,3,4,2,2,2,50,4,4
"1",1,2,7,6,6,47,3,2,3,3,3,2,3,4,38,3,1
"1",1,3,5,6,6,64,4,3,4,2,3,5,1,3,59,3,4
