"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_3","FWB1_4","FWB1_5","FWB1_6","FWB2_1","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_1","FS1_2","FS1_3","FS1_4","FS1_5","FS1_6","FS1_7","FS2_1","FS2_2","FS2_3","SUBKNOWL1","ACT1_1","ACT1_2","FINGOALS","PROPPLAN_1","PROPPLAN_2","PROPPLAN_3","PROPPLAN_4","MANAGE1_1","MANAGE1_2","MANAGE1_3","MANAGE1_4","SAVEHABIT","FRUGALITY","AUTOMATED_1","AUTOMATED_2","ASK1_1","ASK1_2","SUBNUMERACY2","SUBNUMERACY1","CHANGEABLE","GOALCONF","LMscore"
"1",3,3,6,5,6,50,3,1,4,2,3,4,2,3,3,2,41,3,4,1,2,2,5,1,5,5,5,1,5,1,0,1,1,1,1,5,4,1,5,1,6,0,0,1,1,5,4,6,3,2
"1",1,3,6,6,7,59,4,4,2,4,2,3,2,4,2,2,58,4,4,4,4,4,4,4,4,4,2,6,5,5,1,5,5,5,5,5,4,4,5,6,6,1,1,4,2,4,5,4,4,2
"1",1,3,4,4,4,50,3,3,3,2,3,3,3,3,2,3,34,2,3,2,2,3,2,3,3,3,3,4,3,2,0,3,3,4,2,4,2,5,2,4,5,1,1,4,4,3,4,4,3,3
"1",1,3,7,7,7,67,5,4,2,4,1,3,1,5,1,3,61,4,4,5,4,4,5,5,4,3,2,6,4,4,1,5,5,5,5,5,4,4,5,6,6,1,1,4,3,4,6,5,4,3
"1",1,3,7,6,7,73,3,5,1,5,1,3,1,3,1,2,58,5,4,3,4,3,5,4,4,4,4,5,5,5,1,4,4,4,4,5,5,5,5,5,5,0,0,4,3,1,4,5,4,3
"1",1,3,7,7,5,69,4,5,2,5,1,2,2,5,1,1,58,4,4,4,4,5,4,4,4,4,2,6,5,5,1,4,4,4,4,5,5,3,5,6,5,1,1,4,4,5,5,5,4,3
"1",1,3,6,4,7,61,3,4,1,3,1,3,2,4,2,3,50,4,4,4,3,4,3,3,3,4,2,6,4,4,1,4,4,4,4,5,4,5,4,5,4,0,0,3,1,4,6,4,4,3
"1",1,3,6,6,4,56,3,4,2,3,3,2,2,2,3,2,47,3,4,3,3,3,4,3,4,4,2,4,5,3,1,4,3,4,3,4,3,4,3,3,5,1,0,3,3,4,5,2,3,3
"1",1,2,4,5,6,47,2,1,3,2,3,3,3,2,3,3,33,3,1,2,1,2,2,3,4,3,5,1,3,3,1,3,3,4,3,5,4,5,5,4,6,7,1,4,2,6,4,3,3,3
"1",1,3,7,7,6,79,4,4,1,5,5,1,1,5,1,1,58,4,5,4,4,4,4,4,4,4,2,5,5,5,1,3,3,3,4,5,4,5,5,5,3,0,1,3,3,3,3,3,4,3
"1",1,2,3,5,6,27,1,1,3,1,5,5,5,1,5,4,39,3,2,2,3,2,3,3,3,3,3,4,3,3,1,2,2,3,2,2,1,1,1,2,5,7,7,3,1,5,5,2,3,3
"1",1,3,6,6,6,58,3,4,2,3,2,3,2,2,2,3,43,3,3,4,3,3,3,3,4,3,3,5,4,3,0,2,3,2,2,5,3,5,4,2,6,0,1,4,2,3,5,3,2,2
"1",1,3,6,5,5,34,2,3,5,3,3,5,5,2,3,4,47,4,3,3,3,3,3,3,4,4,4,3,4,3,0,4,3,4,3,5,5,5,5,5,5,7,1,3,3,5,5,5,3,3
"1",1,3,7,7,7,76,4,5,1,5,1,1,2,5,1,1,81,5,5,5,5,5,5,5,5,5,3,6,5,5,1,4,4,5,5,5,5,5,5,6,6,1,1,5,4,5,5,1,4,3
"1",3,2,1,7,7,23,1,1,5,3,2,5,5,1,5,5,50,3,2,4,3,4,3,5,5,5,5,3,3,3,1,2,4,4,2,3,3,3,3,2,5,7,7,4,4,3,4,2,3,2
"1",1,3,7,7,7,76,4,5,1,5,5,1,1,5,1,1,75,5,4,5,5,5,5,5,5,4,2,6,4,4,1,4,4,5,3,5,5,5,5,6,6,1,1,4,3,5,5,5,4,3
"1",1,3,7,7,7,69,4,4,1,3,2,2,2,5,1,1,60,4,4,4,5,3,4,5,5,3,3,5,5,4,0,4,5,3,3,5,3,3,2,6,6,1,7,4,5,2,4,5,4,3
"1",1,3,6,6,6,76,5,5,2,5,1,2,1,5,1,2,56,4,5,4,5,4,3,3,2,3,1,6,4,4,1,1,2,3,3,5,5,5,1,4,4,0,0,3,5,3,5,6,3,3
"1",1,3,7,7,7,60,4,4,3,4,4,4,1,3,1,1,42,3,3,3,3,3,3,3,3,3,3,3,5,4,1,3,5,4,4,4,3,5,5,5,4,1,0,3,3,3,3,1,3,3
"1",1,1,6,2,6,67,4,4,2,4,1,2,1,5,1,4,43,2,4,4,3,4,3,4,3,2,2,4,3,3,0,2,2,4,2,5,4,5,5,6,6,1,1,4,5,3,5,6,2,2
"1",2,3,7,7,7,70,3,5,1,5,3,3,1,5,1,3,46,3,5,3,2,3,3,5,4,5,5,5,5,3,0,5,3,5,3,5,5,5,5,4,5,1,1,2,5,3,3,5,3,1
"1",1,3,7,7,5,69,4,4,2,4,1,2,1,4,1,2,61,4,5,4,4,4,4,4,5,5,3,6,5,4,1,4,4,4,4,5,5,5,5,6,6,1,1,4,5,4,4,5,4,3
"1",1,3,5,5,6,47,3,3,4,3,3,3,3,3,3,4,43,3,4,3,3,2,4,4,3,3,3,4,4,4,1,4,4,4,4,5,4,5,5,5,5,1,1,3,3,2,4,5,3,3
"1",1,1,7,7,6,62,2,2,2,3,3,2,2,3,1,1,58,5,2,4,4,5,5,4,2,2,2,5,3,3,1,4,4,5,4,4,4,4,4,5,5,0,1,5,3,1,5,6,3,2
"1",1,2,4,5,6,44,1,3,3,3,5,4,3,2,2,4,54,4,3,4,3,3,4,5,4,4,3,5,5,3,1,4,5,4,3,5,4,5,5,4,6,7,7,5,4,4,5,6,3,1
"1",2,3,6,7,5,62,5,5,5,5,5,5,1,5,1,2,55,4,4,3,3,4,5,4,5,4,3,5,5,4,0,4,3,3,3,5,4,5,5,4,5,1,1,4,3,4,3,4,3,2
"1",1,3,7,7,7,64,3,4,1,4,2,3,2,5,2,1,77,5,5,5,5,3,5,5,5,5,2,5,5,3,1,5,4,4,4,5,5,5,5,6,6,0,0,5,3,4,4,1,3,3
"1",1,3,6,6,7,51,3,3,2,3,3,5,3,4,2,3,48,4,4,3,3,3,2,3,4,4,3,4,5,4,1,5,5,5,5,5,3,2,1,4,3,1,1,4,4,3,5,5,4,2
"1",1,3,7,6,7,61,3,4,2,4,2,2,2,4,2,2,47,3,4,4,3,4,3,3,4,3,2,5,4,4,1,4,4,4,4,5,5,1,3,5,5,7,7,5,5,5,4,2,4,3
"1",1,3,5,3,4,41,3,2,3,3,4,5,4,2,3,4,51,4,3,3,3,3,4,4,5,4,3,5,4,4,1,4,4,4,3,5,4,2,5,5,5,0,1,5,3,3,4,5,3,3
"1",2,3,7,6,5,72,4,4,1,4,2,3,1,5,1,2,64,4,5,4,4,4,5,5,5,5,3,5,5,5,0,3,4,5,4,5,5,5,5,5,6,7,7,5,2,3,1,2,4,3
"1",1,3,3,5,5,36,1,3,4,3,5,4,4,2,4,4,47,3,4,3,3,4,3,3,4,4,2,6,5,3,0,4,4,3,3,4,4,1,3,2,5,1,0,4,3,6,6,3,3,3
"1",1,3,6,6,5,61,4,4,2,3,2,2,2,4,2,3,50,4,4,3,3,3,4,4,4,3,3,6,4,4,0,4,4,4,4,5,4,5,5,5,5,1,1,4,3,3,5,6,4,3
"1",1,3,4,4,2,66,4,3,2,3,2,4,1,5,1,2,42,3,3,2,3,2,3,3,4,4,3,5,4,3,1,3,4,3,2,5,4,5,5,6,6,1,1,5,5,5,5,3,3,3
"1",3,2,4,5,6,34,1,2,3,3,5,5,4,2,5,4,40,3,3,3,3,3,3,2,3,3,3,6,3,2,1,2,3,3,2,3,3,2,4,3,5,0,0,3,3,4,4,5,3,1
"1",1,3,6,6,5,50,1,3,2,3,3,3,3,3,3,3,56,4,4,2,4,3,4,4,5,4,2,5,4,4,1,4,4,4,3,4,4,4,4,3,5,1,0,3,3,4,4,5,4,2
"1",3,2,3,6,2,43,1,1,2,1,3,5,3,1,3,4,36,3,1,2,3,2,3,3,2,2,3,2,4,2,0,5,4,3,2,4,3,1,3,1,5,7,7,2,3,6,4,2,2,3
"1",1,3,6,6,5,50,2,3,3,3,3,3,3,2,2,3,59,4,4,4,4,4,4,3,5,5,2,6,4,3,1,4,4,4,3,4,3,1,4,2,6,0,1,4,2,2,6,3,3,3
