"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,7,7,7,52,3,5,4,3,4,2,3,2,57,4,4
"1",1,3,3,3,4,35,1,2,3,2,5,2,4,4,45,3,3
"1",1,1,6,6,6,59,4,4,4,1,3,3,1,1,58,4,4
"1",1,3,6,5,5,51,3,3,4,3,3,3,3,3,44,4,3
"1",3,1,5,7,7,63,5,3,3,1,3,3,2,1,85,5,5
"1",1,3,6,7,6,95,5,5,5,1,1,5,1,1,70,5,5
"1",1,3,7,7,7,86,5,5,5,1,1,5,1,1,73,5,4
"1",1,3,4,5,5,55,4,4,4,5,3,5,2,3,47,3,3
"1",1,2,7,7,7,53,3,3,4,2,5,4,2,3,51,3,3
"1",1,3,7,7,7,49,2,3,2,4,2,2,3,4,42,3,3
"1",1,3,6,6,6,67,4,4,4,4,2,4,1,2,57,4,3
"1",1,3,6,7,6,80,5,4,5,1,2,5,1,1,49,4,3
"1",3,1,6,6,6,58,3,3,3,2,2,3,2,3,47,4,4
"1",1,3,5,4,4,43,3,3,4,3,5,3,3,3,58,4,4
"1",1,3,3,4,6,51,3,3,3,3,3,3,3,3,57,4,4
"1",1,3,6,6,6,71,4,4,4,1,3,5,1,2,66,5,3
"1",1,3,7,4,6,77,5,4,4,1,4,4,1,1,58,4,4
"1",1,3,5,6,7,63,4,5,4,2,1,5,1,3,65,4,4
"1",2,3,7,7,4,70,4,3,4,1,2,4,1,2,47,4,3
"1",2,3,7,5,4,66,4,4,4,3,4,5,1,2,54,5,3
"1",1,3,6,6,6,68,4,3,5,4,2,5,1,4,78,5,5
"1",2,3,6,7,7,64,4,4,4,4,2,4,2,4,58,4,4
"1",2,1,7,7,7,72,4,5,5,1,2,5,1,1,60,4,4
"1",1,3,1,7,7,36,5,5,3,5,5,3,5,3,71,5,5
"1",1,3,2,3,4,48,3,3,3,3,4,4,3,2,44,3,2
"1",1,3,6,6,2,68,4,5,5,5,2,5,1,3,63,3,4
"1",1,3,7,7,7,74,3,5,3,1,3,4,1,1,75,5,5
"1",2,3,6,6,7,62,3,4,4,2,2,4,2,2,53,4,4
"1",2,3,7,6,7,71,4,4,4,1,2,5,1,2,61,5,4
"1",1,3,5,6,5,54,3,3,3,3,4,4,2,3,33,2,2
"1",1,3,5,7,4,45,2,3,2,3,4,3,3,4,39,3,2
"1",1,3,4,4,4,40,1,2,1,1,5,1,3,4,28,2,2
"1",1,2,1,5,7,53,1,1,1,1,1,1,5,5,14,1,1
"1",2,3,5,6,6,65,4,4,4,1,3,5,1,3,50,5,3
"1",2,3,6,6,6,56,5,4,4,4,4,5,2,2,59,4,4
"1",1,3,2,6,2,44,1,3,3,3,4,2,3,4,50,4,3
"1",1,3,5,5,5,61,5,5,3,2,4,5,1,3,40,5,2
"1",1,3,5,5,5,49,3,3,3,3,4,3,2,3,49,4,3
"1",1,3,6,5,5,36,2,4,4,5,5,2,3,4,51,3,3
"1",1,3,5,6,6,57,3,3,4,2,3,3,2,2,54,2,3
"1",1,1,7,6,7,41,5,5,4,5,5,5,3,3,69,5,4
"1",1,3,7,7,5,70,5,5,5,1,2,5,1,2,56,4,4
"1",1,3,6,6,6,66,3,4,4,2,3,4,1,1,52,5,4
